0,230, 5
230, 300, 15
300, 550, 9
550, 730, 20
730, 780, 9
780, 940, 8
940, 1044, 15
1044, 1200, 7
1200, 1290, 20
1290, 1520, 30
1520, 1800, 20
1800, 1830, 15
1830, 2044, 8
2044, 2300, 20
